Datetime,Serving_Cell_Id, Call_Id, uePhr
2025-02-27 05:33:43.536,6436247,829019505,17,
2025-02-27 05:33:43.692,6436098,829019535,34,
2025-02-27 05:33:43.753,6436098,829019569,6,
2025-02-27 05:33:43.913,6436098,16168840,7,
2025-02-27 05:33:43.908,6436238,16168840,255,
2025-02-27 05:33:43.988,6436098,15886792,21,
2025-02-27 05:33:44.062,6436096,829019566,29,
2025-02-27 05:33:44.105,6436238,16168841,21,
2025-02-27 05:33:44.223,6436098,16168748,3,
2025-02-27 05:33:44.340,6436137,15941103,24,
2025-02-27 05:33:44.457,6436098,16168824,27,
2025-02-27 05:33:44.539,6436238,15940662,32,
2025-02-27 05:33:44.868,6436098,16168693,41,
2025-02-27 05:33:44.914,6436097,15886794,32,
2025-02-27 05:33:44.963,6436178,15885868,40,
2025-02-27 05:33:44.992,6436238,15796985,29,
2025-02-27 05:33:45.117,6436096,829019519,21,
2025-02-27 05:33:45.128,6436178,15941254,30,
2025-02-27 05:33:45.426,6436097,828962127,13,
2025-02-27 05:33:45.488,6436096,829019503,30,
2025-02-27 05:33:45.478,6436247,828964380,255,
2025-02-27 05:33:45.478,6436237,828964380,32,
2025-02-27 05:33:45.554,6436096,15886757,33,
2025-02-27 05:33:45.591,6436238,15940897,34,
2025-02-27 05:33:45.613,6436247,15941183,27,
2025-02-27 05:33:45.620,6436238,15941183,255,
2025-02-27 05:33:45.657,6436178,828964598,40,
2025-02-27 05:33:45.688,6436238,16291333,31,
2025-02-27 05:33:45.715,6436137,828964612,10,
2025-02-27 05:33:45.822,6436096,829019552,23,
2025-02-27 05:33:45.883,6436238,15885154,34,
2025-02-27 05:33:45.891,6436098,16168844,12,
2025-02-27 05:33:45.930,6436098,15886403,35,
2025-02-27 05:33:45.963,6436138,828964706,24,
2025-02-27 05:33:46.020,6436097,15941255,27,
2025-02-27 05:33:46.087,6436098,829019519,8,
2025-02-27 05:33:46.264,6436238,16168835,22,
2025-02-27 05:33:46.311,6436098,828959225,19,
2025-02-27 05:33:46.359,6436238,15796969,29,
2025-02-27 05:33:46.381,6436097,16291319,25,
2025-02-27 05:33:46.511,6436097,15796912,36,
