Datetime,Serving_Cell_Id, Call_Id, uePhr,dlWidebandCqiCode0,dlWidebandCqiCode1,ulDmrsSinr,taValue,preambleTaValue,ulSrsSinr
2025-02-27 05:30:59.265,6436137,15796757,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.265,6436097,15796757,34,10,8,1756,16,36,2147483647,
2025-02-27 05:30:59.281,6436097,16291053,28,14,15,2565,16,36,2147483647,
2025-02-27 05:30:59.320,6436097,15883322,15,11,8,2118,0,36,2147483647,
2025-02-27 05:30:59.320,6436178,15883322,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.320,6436137,15883322,255,11,8,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.333,6436238,828964653,35,11,255,1557,48,72,688,
2025-02-27 05:30:59.347,6436098,16290361,33,7,14,1867,0,36,2147483647,
2025-02-27 05:30:59.355,6436097,15941009,28,13,10,2114,48,60,2147483647,
2025-02-27 05:30:59.351,6436238,15941009,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.358,6436238,15796656,31,7,7,1847,32,60,1115,
2025-02-27 05:30:59.366,6436238,15941019,18,10,255,2556,64,72,2128,
2025-02-27 05:30:59.372,6436137,828964642,21,10,9,1760,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.372,6436097,828964642,35,5,7,1740,64,96,2147483647,
2025-02-27 05:30:59.374,6436098,16291057,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.374,6436178,16291057,36,6,10,2381,48,60,2147483647,
2025-02-27 05:30:59.372,6436238,828964668,26,9,255,2119,32,48,1123,
2025-02-27 05:30:59.382,6436238,16168559,32,10,10,2342,48,36,1428,
2025-02-27 05:30:59.396,6436096,828964299,28,4,7,1638,48,72,2147483647,
2025-02-27 05:30:59.405,6436178,16290997,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.405,6436098,16290997,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.407,6436238,16290997,34,14,14,2259,48,60,1297,
2025-02-27 05:30:59.407,6436238,16291064,21,15,255,2604,16,36,2056,
2025-02-27 05:30:59.422,6436238,828964299,255,8,8,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.433,6436098,16288084,44,12,13,2093,16,12,2147483647,
2025-02-27 05:30:59.431,6436238,16290361,255,13,13,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.441,6436098,16289962,32,10,8,2413,32,72,2147483647,
2025-02-27 05:30:59.468,6436098,16167169,29,9,8,2061,0,24,2147483647,
2025-02-27 05:30:59.468,6436178,16167169,255,7,6,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.470,6436136,16166533,255,15,8,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.471,6436096,16166533,14,8,8,424,32,96,2147483647,
2025-02-27 05:30:59.474,6436096,828963922,15,7,255,1003,48,108,2147483647,
2025-02-27 05:30:59.478,6436178,16290854,255,9,7,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.478,6436098,16290854,37,9,7,1803,0,24,2147483647,
2025-02-27 05:30:59.480,6436238,16167169,255,11,11,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.490,6436238,16290854,255,14,14,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.540,6436097,828964624,15,5,3,1008,0,24,2147483647,
2025-02-27 05:30:59.548,6436096,15796749,31,5,6,2618,16,36,2147483647,
2025-02-27 05:30:59.544,6436238,15796749,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:59.550,6436097,828964411,10,6,4,361,64,84,2147483647,
2025-02-27 05:30:59.612,6436138,15796722,255,255,255,2147483647,4294967295,2147483647,2147483647,
