Datetime,Serving_Cell_Id, Call_Id, eRabCount,eRabThroughputStatList[0].eRabId,eRabThroughputStatList[0].qci,eRabThroughputStatList[0].ulDataVolume,eRabThroughputStatList[0].dlDataVolume,eRabThroughputStatList[1].eRabId,eRabThroughputStatList[1].qci,eRabThroughputStatList[1].ulDataVolume,eRabThroughputStatList[1].dlDataVolume,eRabThroughputStatList[2].eRabId,eRabThroughputStatList[2].qci,eRabThroughputStatList[2].ulDataVolume,eRabThroughputStatList[2].dlDataVolume,eRabThroughputStatList[3].eRabId,eRabThroughputStatList[3].qci,eRabThroughputStatList[3].ulDataVolume,eRabThroughputStatList[3].dlDataVolume,eRabThroughputStatList[4].eRabId,eRabThroughputStatList[4].qci,eRabThroughputStatList[4].ulDataVolume,eRabThroughputStatList[4].dlDataVolume,eRabThroughputStatList[5].eRabId,eRabThroughputStatList[5].qci,eRabThroughputStatList[5].ulDataVolume,eRabThroughputStatList[5].dlDataVolume,eRabThroughputStatList[6].eRabId,eRabThroughputStatList[6].qci,eRabThroughputStatList[6].ulDataVolume,eRabThroughputStatList[6].dlDataVolume,eRabThroughputStatList[7].eRabId,eRabThroughputStatList[7].qci,eRabThroughputStatList[7].ulDataVolume,eRabThroughputStatList[7].dlDataVolume
2025-02-27 05:42:14.022,6436097,15887480,3,5,9,74,0,6,5,0,0,7,8,0,140,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:14.006,6436238,15887480,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:14.021,6436238,16102365,3,5,9,3477,13442,6,5,0,0,7,8,0,90649,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:14.144,6436097,16291914,3,5,9,4724,0,6,8,0,195483,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:14.200,6436098,16291742,3,5,9,8199,194094,6,8,0,0,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:14.267,6436238,829019968,3,5,9,53870,710260,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:14.374,6436098,829020036,2,5,9,7980,188140,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:14.430,6436097,16169539,3,5,9,2004,2523,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:14.623,6436238,15797458,3,5,9,1753,4352,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:14.820,6436098,15797579,2,5,8,3945,66097,6,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:14.873,6436098,16292006,2,5,9,346,1816,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:15.114,6436098,15941773,3,5,9,54366,736689,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:15.119,6436098,15885154,3,5,9,57612,1463,6,5,0,0,7,8,0,561630,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:15.111,6436238,15797728,2,5,9,622,806,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:15.168,6436096,15941872,2,5,8,9026,409664,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:15.180,6436226,15941872,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:15.250,6436097,15941984,1,5,9,7496,7001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:15.338,6436097,15887221,3,5,9,29693,310458,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
